Date,Dividends
11-05-1987,0.000536
10-08-1987,0.000536
17-11-1987,0.000714
12-02-1988,0.000714
16-05-1988,0.000714
15-08-1988,0.000714
21-11-1988,0.000893
17-02-1989,0.000893
22-05-1989,0.000893
21-08-1989,0.000893
17-11-1989,0.000982
16-02-1990,0.000982
21-05-1990,0.000982
20-08-1990,0.000982
16-11-1990,0.001071
15-02-1991,0.001071
20-05-1991,0.001071
19-08-1991,0.001071
18-11-1991,0.001071
14-02-1992,0.001071
01-06-1992,0.001071
17-08-1992,0.001071
30-11-1992,0.001071
12-02-1993,0.001071
28-05-1993,0.001071
16-08-1993,0.001071
19-11-1993,0.001071
07-02-1994,0.001071
27-05-1994,0.001071
15-08-1994,0.001071
18-11-1994,0.001071
13-02-1995,0.001071
26-05-1995,0.001071
16-08-1995,0.001071
21-11-1995,0.001071
09-08-2012,0.094643
07-11-2012,0.094643
07-02-2013,0.094643
09-05-2013,0.108929
08-08-2013,0.108929
06-11-2013,0.108929
06-02-2014,0.108929
08-05-2014,0.1175
07-08-2014,0.1175
06-11-2014,0.1175
05-02-2015,0.1175
07-05-2015,0.13
06-08-2015,0.13
05-11-2015,0.13
04-02-2016,0.13
05-05-2016,0.1425
04-08-2016,0.1425
03-11-2016,0.1425
09-02-2017,0.1425
11-05-2017,0.1575
10-08-2017,0.1575
10-11-2017,0.1575
09-02-2018,0.1575
11-05-2018,0.1825
10-08-2018,0.1825
08-11-2018,0.1825
08-02-2019,0.1825
10-05-2019,0.1925
09-08-2019,0.1925
07-11-2019,0.1925
07-02-2020,0.1925
08-05-2020,0.205
07-08-2020,0.205
06-11-2020,0.205
05-02-2021,0.205
07-05-2021,0.22
06-08-2021,0.22
05-11-2021,0.22
04-02-2022,0.22
06-05-2022,0.23
05-08-2022,0.23
04-11-2022,0.23
10-02-2023,0.23
12-05-2023,0.24
11-08-2023,0.24
10-11-2023,0.24
09-02-2024,0.24
10-05-2024,0.25
12-08-2024,0.25
